Gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,type,Gene_Symbol
ENSG00000155254,805.3935447,0.04836617,0.123503778,0.391618208,0.695340333,0.844478339,Not significant,MARVELD1
ENSG00000155256,2275.685499,0.061905349,0.109466437,0.565520095,0.57172006,0.762865717,Not significant,ZFYVE27
ENSG00000120057,29.63092771,-0.143763666,0.244520457,-0.587974929,0.556549121,0.751604314,Not significant,SFRP5
ENSG00000227356,25.9417049,0.525998692,0.251431536,2.086293864,0.036952012,0.128182871,Not significant,GOLGA7B-DT
ENSG00000155265,7.923818881,0.304219556,0.263730227,1.150855078,0.249791861,0.477905669,Not significant,GOLGA7B
ENSG00000095713,220.6845372,0.705643828,0.158695078,4.44329176,8.86E-06,0.000103073,Not significant,CRTAC1
ENSG00000166024,996.3145293,0.149327735,0.120771613,1.236445227,0.216293113,0.437190637,Not significant,R3HCC1L
ENSG00000138131,61.58086113,-0.165031699,0.204925272,-0.805241126,0.420680548,0.645157688,Not significant,LOXL4
ENSG00000119943,42.41515776,-0.224711783,0.224255342,-1.001807918,0.316436373,0.549226289,Not significant,PYROXD2
ENSG00000107521,2518.506376,-0.46318083,0.110293945,-4.19941743,2.68E-05,0.00027988,Not significant,HPS1
ENSG00000287261,35.11067443,0.006093925,0.240529142,0.0253415,0.979782573,0.99612601,Not significant,HPS1-AS1
ENSG00000172987,41.44499763,0.649467371,0.232811678,2.780827419,0.005422055,0.028155477,Not significant,HPSE2
ENSG00000119946,4.111773111,0.096673179,0.236473867,0.408212353,0.68311778,0.836086095,Not significant,CNNM1
ENSG00000120053,3982.431067,0.074367485,0.106351441,0.699262228,0.484388168,0.69742912,Not significant,GOT1
ENSG00000224934,394.366892,0.173641562,0.141550246,1.226673135,0.219945469,0.441680627,Not significant,GOT1-DT
ENSG00000119919,2.166460141,0.46466561,0.189471354,2.884323227,0.003922559,0.021588638,Not significant,NKX2-3
ENSG00000155287,663.116312,-0.093412698,0.126412466,-0.738949351,0.459937753,0.677942761,Not significant,SLC25A28
ENSG00000260475,10.07922997,0.44329441,0.26354014,1.685251194,0.091940118,0.247638029,Not significant,SLC25A28-DT
ENSG00000119929,823.9858214,0.194462007,0.12034504,1.61585983,0.106124622,0.273500625,Not significant,CUTC
ENSG00000023839,11.60449567,0.428050423,0.267606377,1.59380312,0.110980139,0.281748053,Not significant,ABCC2
ENSG00000107554,436.0480796,-0.132022602,0.122369775,-1.078875038,0.280643438,0.512405635,Not significant,DNMBP
ENSG00000120054,17.32261045,1.184977545,0.265253738,4.330682657,1.49E-05,0.00016445,Up,CPN1
ENSG00000283232,3.324808323,0.130058597,0.224887259,0.57941894,0.562306527,0.756397431,Not significant,CYP2C23P
ENSG00000107566,1576.143319,0.104169245,0.116832122,0.891614621,0.37259953,0.602801662,Not significant,ERLIN1
ENSG00000213341,1898.04614,0.007042903,0.112200881,0.062770631,0.949949153,0.978491049,Not significant,CHUK
ENSG00000227492,6.363591764,0.257959631,0.254566707,1.015639749,0.309800969,0.543239215,Not significant,CHUK-DT
ENSG00000095485,1063.450451,0.146361156,0.119508582,1.224691687,0.220691407,0.442229629,Not significant,CWF19L1
ENSG00000196072,939.4307419,0.029627401,0.110405807,0.268350649,0.788429423,0.896389688,Not significant,BLOC1S2
